serial_number,zip_code,model_year,final_assembly_code,battery_assembly_code
00AA2209NSO8HR,11697,2022,00,AA
00DD2210Q9C556,34906,2022,00,DD
11AA2211MF837J,25482,2022,11,AA
00BB2211GCH45T,24250,2022,00,BB
00BB2212UC6HJ8,46850,2022,00,BB
00CC2201RBHYUA,22016,2022,00,CC
11AA22095C2ZUX,33278,2022,11,AA
00BB2206PW1MB9,34022,2022,00,BB
00DD2212GZZPB5,72336,2022,00,DD
00CC2210K9G9DR,40037,2022,00,CC
11AA2203E8RALT,94691,2022,11,AA
11AA2209QFEMOV,48364,2022,11,AA
00AA22107O2YOA,39554,2022,00,AA
00DD2212G1RG8O,19626,2022,00,DD
00DD220617P65T,17311,2022,00,DD
00CC2209F73N6E,34340,2022,00,CC
00AA2204ITHRCU,29792,2022,00,AA
11AA2211W8R69X,68592,2022,11,AA
00DD22065PHYF0,91295,2022,00,DD
00AA2210M7CA2T,11564,2022,00,AA
00AA2211J2ZPP4,66459,2022,00,AA
00BB2203YK12B0,70997,2022,00,BB
00CC2204IXP4FI,52641,2022,00,CC
00CC22113YGS0L,48481,2022,00,CC
00AA2207DFJI6O,77745,2022,00,AA
00AA2211QH3GNF,18707,2022,00,AA
00CC2210O6FMB9,51809,2022,00,CC
00BB2203S7GBVP,08956,2022,00,BB
00DD22094SAWH9,11443,2022,00,DD
00CC2209O7HSGZ,91236,2022,00,CC
00AA22046JCX9P,31496,2022,00,AA
11AA221003WUIK,06194,2022,11,AA
11AA2211NC44PM,78548,2022,11,AA
11AA2212F92ZJD,92601,2022,11,AA
00DD2205RGHHJ0,46647,2022,00,DD
00AA2212NRZGR8,53635,2022,00,AA
00BB22042G9BD1,96147,2022,00,BB
00BB2202IXLLBE,02333,2022,00,BB
00AA2210BB4244,19500,2022,00,AA
00CC22058Y5HT7,03989,2022,00,CC
11AA2208R0MH2N,59615,2022,11,AA
11AA2303RA7I4S,86920,2023,11,AA
00DD2305UF79M1,47603,2023,00,DD
00DD2304QL3CCB,09366,2023,00,DD
00CC2301VBP7F9,60577,2023,00,CC
00DD2301GAH0KH,34360,2023,00,DD
11AA23053BSXE8,47542,2023,11,AA
00BB230999ETI1,65405,2023,00,BB
00CC2309R4JWT4,00202,2023,00,CC
00BB2305X6USSD,50400,2023,00,BB
00AA2307PX01V4,20874,2023,00,AA
00AA230509XVZ6,11993,2023,00,AA
00DD2304DBRVHX,29117,2023,00,DD
00BB2302HWUYT3,48354,2023,00,BB
00CC2308N0NHNL,77827,2023,00,CC
00CC230230N5T8,60255,2023,00,CC
00AA23024QQ3CF,09369,2023,00,AA
00BB23081JODA0,47825,2023,00,BB
00AA2302Y0A7AM,11255,2023,00,AA
00CC2301LIC5ZO,22376,2023,00,CC
00DD2303RB9PMH,25770,2023,00,DD
11AA23023EG0L6,89256,2023,11,AA
00DD2312EABRNB,47142,2023,00,DD
00BB2306SUI86Z,42194,2023,00,BB
00BB2309HCSB7F,26344,2023,00,BB
00BB2305CJNB89,71189,2023,00,BB
00CC2304X5634R,53990,2023,00,CC
00AA2305P6AYD6,87085,2023,00,AA
11AA2308QQHOKX,45657,2023,11,AA
00DD2301TOQVXC,45390,2023,00,DD
00CC2301EYFH7E,85053,2023,00,CC
00CC2307BOHTG9,32482,2023,00,CC
00AA2301TV81IR,51087,2023,00,AA
11AA2307HT8NN5,72984,2023,11,AA
00DD2302QAAX75,36471,2023,00,DD
00CC23016SFIC2,73054,2023,00,CC
00BB2307ZDSV85,52096,2023,00,BB
00BB230998CXGN,13820,2023,00,BB
11AA2309550QSK,39870,2023,11,AA
00DD2303P7M361,13134,2023,00,DD
00DD2304Y5NCW1,50103,2023,00,DD
00CC2310K3F1BC,85128,2023,00,CC
00AA23084Q3EOR,79627,2023,00,AA
00DD230298VVLO,66938,2023,00,DD
00CC2311C298BC,63929,2023,00,CC
00DD23072QYB0M,93005,2023,00,DD
00BB23064CSG0H,89491,2023,00,BB
11AA230544SWK5,90654,2023,11,AA
00AA2312IH4BCL,70461,2023,00,AA
11AA2309AJF48O,87785,2023,11,AA
00AA2306SQCN2U,16241,2023,00,AA
00BB2302C4NO33,40255,2023,00,BB
11AA23035VH98C,12406,2023,11,AA
11AA2304SAX1LP,74119,2023,11,AA
00BB2309I08NKF,47575,2023,00,BB
00BB2305SDO0VM,39462,2023,00,BB
00BB2311U95H9J,58801,2023,00,BB
11AA2306ALBLEY,73717,2023,11,AA
00DD23067Y4UF7,77326,2023,00,DD
11AA2304CAJRC6,81387,2023,11,AA
00CC2305U14JT8,59768,2023,00,CC
00DD2303DZW303,84845,2023,00,DD
00AA2308UGFK38,44664,2023,00,AA
11AA2307VTOF4C,37763,2023,11,AA
11AA2312STPOB6,46125,2023,11,AA
11AA2301OTHMVA,57703,2023,11,AA
00AA2307NOET90,40398,2023,00,AA
00DD2301TNZ66N,78980,2023,00,DD
00CC2309LA3OXT,75807,2023,00,CC
00AA230409ZARL,71044,2023,00,AA
11AA2301NOCM8M,16083,2023,11,AA
11AA23124CGE85,86387,2023,11,AA
11AA2310PFAJS0,44714,2023,11,AA
00DD2307U8PGHE,82601,2023,00,DD
00CC23028LAS06,78468,2023,00,CC
11AA23090457B4,13956,2023,11,AA
00DD2307CYSR81,13593,2023,00,DD
00CC23035JIUGB,14836,2023,00,CC
00CC23085AJCCI,48065,2023,00,CC
00CC2310MHLJ5V,64303,2023,00,CC
00CC2301T2H6DZ,63650,2023,00,CC
00CC2308NN4S2Q,53026,2023,00,CC
00DD23071FO93F,26290,2023,00,DD
00AA2305D8FSS2,74944,2023,00,AA
00AA231293BE7J,60448,2023,00,AA
00CC2309NQHR00,87561,2023,00,CC
00AA23048AVF5Y,85248,2023,00,AA
00DD2304CBZGNR,62639,2023,00,DD
00BB23101MH41J,90007,2023,00,BB
11AA2310416LQ4,39730,2023,11,AA
11AA2303HS7USD,35758,2023,11,AA
00DD2303IAWUDF,33035,2023,00,DD
00DD2308W7FTZD,52803,2023,00,DD
11AA2303B05C7P,25476,2023,11,AA
00BB23097C2VXC,29606,2023,00,BB
00AA2307CFJK10,85491,2023,00,AA
11AA2306O3W88S,12824,2023,11,AA
00BB23027MEI4A,41687,2023,00,BB
00CC230481EQGT,69201,2023,00,CC
00AA231150E0O0,88415,2023,00,AA
11AA2302IPFOBQ,75350,2023,11,AA
00AA2304VXEULM,29277,2023,00,AA
11AA23034G12SQ,63654,2023,11,AA
00CC2311XET0ON,65384,2023,00,CC
00CC23050JQ5JW,03222,2023,00,CC
00DD230756NLKK,22762,2023,00,DD
00BB2303CL8CAU,07706,2023,00,BB
00BB23037TPITO,84092,2023,00,BB
11AA23090J012S,90007,2023,11,AA
00CC2307BROKU6,42265,2023,00,CC
11AA230202I00N,59562,2023,11,AA
00CC2311AWZCGC,40423,2023,00,CC
11AA231054UGQP,66019,2023,11,AA
00AA2303EZUSLR,66764,2023,00,AA
00AA2308B5IJEK,69397,2023,00,AA
00CC2312FZLBWD,60781,2023,00,CC
00AA2304QSPZ95,64921,2023,00,AA
00CC2311CPDI07,94916,2023,00,CC
00DD2303SYT3YA,68138,2023,00,DD
00AA2305IXOUB7,26303,2023,00,AA
00AA23088N0JFX,47551,2023,00,AA
00BB2303MTQRN7,86349,2023,00,BB
00CC2302TNSTQR,18631,2023,00,CC
11AA2307FK0LE2,82333,2023,11,AA
00AA2306PAS5R4,82367,2023,00,AA
00CC2306U233UC,70413,2023,00,CC
11AA2312Y6ZVVT,34071,2023,11,AA
11AA2301JY47AD,59376,2023,11,AA
00DD2309W3WW93,53351,2023,00,DD
00CC2304DBMOD9,75585,2023,00,CC
00AA2302OMV7TZ,60026,2023,00,AA
00AA23091XG9ON,33643,2023,00,AA
00CC2311RPKSG5,38865,2023,00,CC
00CC230196MA62,65411,2023,00,CC
00BB23123NJ60C,66748,2023,00,BB
00AA2310EXVK89,26045,2023,00,AA
00CC2305W5YD2Z,41254,2023,00,CC
11AA2309G68WX0,07554,2023,11,AA
00BB23010J3L21,74182,2023,00,BB
00CC2310K8T10N,61563,2023,00,CC
00CC2301M8WGMS,05665,2023,00,CC
00AA2311NW4KTT,25335,2023,00,AA
00BB23105OBNMQ,32424,2023,00,BB
11AA2305UDWH45,26653,2023,11,AA
00AA2312D7DVMB,75642,2023,00,AA
00CC2309ANGSWX,02190,2023,00,CC
00CC23111BTEH1,25032,2023,00,CC
00BB2312ULTXOO,63443,2023,00,BB
00CC2305PRPVTX,59456,2023,00,CC
11AA2308EKDMGY,24866,2023,11,AA
00CC2303XBBJVF,30245,2023,00,CC
00BB2311W63KYW,79813,2023,00,BB
00CC2306AWGKEH,95954,2023,00,CC
00BB2302UXSCH7,38982,2023,00,BB
00BB2310V2C5CP,41454,2023,00,BB
00CC2304E5GGQT,61704,2023,00,CC
11AA23045K240M,01039,2023,11,AA
00AA2301O1KDYV,61446,2023,00,AA
00DD2306CXTAWL,43149,2023,00,DD
00AA2311SDNHHB,06408,2023,00,AA
00BB2311W8CB6X,21049,2023,00,BB
00AA23113TEYXZ,53582,2023,00,AA
00DD2304GU5W30,49664,2023,00,DD
00CC231060SS0Z,89816,2023,00,CC
00BB2308MOS7W5,85920,2023,00,BB
00BB2304COBI9Z,77890,2023,00,BB
00AA2306GSHNL5,58983,2023,00,AA
00DD2301UN0WC0,05844,2023,00,DD
11AA23062LR19A,06036,2023,11,AA
00BB2311FPXJ22,76646,2023,00,BB
00BB2306Z7813I,26689,2023,00,BB
11AA2307UO3H9Q,64713,2023,11,AA
00BB2306EMT0H2,29757,2023,00,BB
11AA2309IO87BG,24578,2023,11,AA
00BB2308MTNWHP,60514,2023,00,BB
00AA23050SW573,27484,2023,00,AA
11AA2309RWIOK0,48365,2023,11,AA
00AA231280G546,92385,2023,00,AA
11AA2309DB7D9H,38860,2023,11,AA
00BB2307KP4ERJ,08736,2023,00,BB
11AA23041B8PWF,47587,2023,11,AA
00AA23030EHOUD,24410,2023,00,AA
00BB2308J2PGQE,66129,2023,00,BB
00AA2304R18TP4,50003,2023,00,AA
00AA2301UV86PP,95853,2023,00,AA
00CC23094NOR9U,20573,2023,00,CC
00DD2310PAOQVH,26811,2023,00,DD
11AA230108QONO,89535,2023,11,AA
00BB2312J5PX7Z,35446,2023,00,BB
00CC230900UIBX,68048,2023,00,CC
